search_term,total_spend,total_conversions,total_conv_value,roas,reason
chicken feed organic,3.04,0.0,0.0,0.0,off-topic: chicken feed (not seed)
vibrant life chicken feed,2.99,0.0,0.0,0.0,off-topic: chicken feed (not seed)
earth first chicken feed,2.9,0.0,0.0,0.0,off-topic: chicken feed (not seed)
sunrise chicken feed,2.85,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed alternatives,2.81,0.0,0.0,0.0,off-topic: chicken feed (not seed)
what to plant for chicken feed,2.77,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grower chicken feed,2.52,0.0,0.0,0.0,off-topic: chicken feed (not seed)
natural chicken feed,2.48,0.0,0.0,0.0,off-topic: chicken feed (not seed)
mile four chicken feed,2.37,0.0,0.0,0.0,off-topic: chicken feed (not seed)
amazon grass seed,2.37,0.0,0.0,0.0,off-topic: retail: amazon
best chicken feed,2.36,0.0,0.0,0.0,off-topic: chicken feed (not seed)
tractor supply seed,2.29,0.0,0.0,0.0,off-topic: retail: tractor supply
perennial ryegrass seed home depot,2.22,0.0,0.0,0.0,off-topic: retail: home depot
lowes clover seed,2.2,0.0,0.0,0.0,off-topic: retail: lowes
marigold chicken feed,2.18,0.0,0.0,0.0,off-topic: chicken feed (not seed)
organic chicken feed in bulk,2.12,0.0,0.0,0.0,off-topic: chicken feed (not seed)
home depot grass seed,2.12,0.0,0.0,0.0,off-topic: retail: home depot
homemade chicken feed,2.1,0.0,0.0,0.0,off-topic: chicken feed (not seed)
tractor supply pasture grass seed,2.09,0.0,0.0,0.0,off-topic: retail: tractor supply
lowes wildflower seeds,2.09,0.0,0.0,0.0,off-topic: retail: lowes
chicken food seeds,2.08,0.0,0.0,0.0,off-topic: chicken food (not seed)
nature chicken feed,1.99,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed by the pallet,1.98,0.0,0.0,0.0,off-topic: chicken feed (not seed)
organic chicken feed bulk,1.94,0.0,0.0,0.0,off-topic: chicken feed (not seed)
amazon microclover,1.88,0.0,0.0,0.0,off-topic: retail: amazon
chicken feed with amaranth,1.87,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chewy chicken feed,1.86,0.0,0.0,0.0,off-topic: chicken feed (not seed)
fine fescue grass seed home depot,1.85,0.0,0.0,0.0,off-topic: retail: home depot
millet chicken feed,1.84,0.0,0.0,0.0,off-topic: chicken feed (not seed)
quality chicken feed,1.83,0.0,0.0,0.0,off-topic: chicken feed (not seed)
premium chicken feed,1.76,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed seed,1.71,0.0,0.0,0.0,off-topic: chicken feed (not seed)
lowes grass seed,1.7,0.0,0.0,0.0,off-topic: retail: lowes
west chicken feed,1.68,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best chicken feed to grow,1.67,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed by the ton,1.65,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best corn to grow for chicken feed,1.62,0.0,0.0,0.0,off-topic: chicken feed (not seed)
joel salatin chicken feed,1.58,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed with alfalfa,1.52,0.0,0.0,0.0,off-topic: chicken feed (not seed)
dumor organic chicken feed,1.46,0.0,0.0,0.0,off-topic: chicken feed (not seed)
texas chicken feed,1.41,0.0,0.0,0.0,off-topic: chicken feed (not seed)
no mow grass seed home depot,1.41,0.0,0.0,0.0,off-topic: retail: home depot
grubbly chicken feed,1.4,0.0,0.0,0.0,off-topic: chicken feed (not seed)
peas for chicken feed,1.34,0.0,0.0,0.0,off-topic: chicken feed (not seed)
livestock feed store near me,1.3,0.0,0.0,0.0,off-topic: feed store
best chicken feed for winter,1.2,0.0,0.0,0.0,off-topic: chicken feed (not seed)
clover seed home depot,1.18,0.0,0.0,0.0,off-topic: retail: home depot
chicken food plot,1.17,0.0,0.0,0.0,off-topic: chicken food (not seed)
california poppy seeds home depot,1.16,0.0,0.0,0.0,off-topic: retail: home depot
local chicken feed,1.15,0.0,0.0,0.0,off-topic: chicken feed (not seed)
poppy seeds home depot,1.15,0.0,0.0,0.0,off-topic: retail: home depot
homemade chicken feed for egg layers,1.12,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grain free chicken feed,1.11,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best chicken feed for laying hens,1.1,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best chicken feed for chicks,1.09,0.0,0.0,0.0,off-topic: chicken feed (not seed)
micro clover seed tractor supply,1.08,1.0,1.0,0.93,off-topic: retail: tractor supply
buffalo grass seed tractor supply,1.07,0.0,0.0,0.0,off-topic: retail: tractor supply
tractor supply equine pasture seed,1.07,0.0,0.0,0.0,off-topic: retail: tractor supply
mycorrhizae home depot,1.06,0.0,0.0,0.0,off-topic: retail: home depot
oyster shell chicken feed,1.05,0.0,0.0,0.0,off-topic: chicken feed (not seed)
azure standard chicken feed,0.98,0.0,0.0,0.0,off-topic: chicken feed (not seed)
fish meal for chicken feed,0.93,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grains for chicken feed,0.93,0.0,0.0,0.0,off-topic: chicken feed (not seed)
blue seal organic chicken feed,0.91,0.0,0.0,0.0,off-topic: chicken feed (not seed)
winter rye seed tractor supply,0.9,0.0,0.0,0.0,off-topic: retail: tractor supply
organic chicken feed 50 lb,0.89,0.0,0.0,0.0,off-topic: chicken feed (not seed)
fast growing chicken feed,0.88,0.0,0.0,0.0,off-topic: chicken feed (not seed)
organic chicken feed bulk near me,0.87,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass seed costco,0.86,0.0,0.0,0.0,off-topic: retail: costco
winter chicken feed,0.86,0.0,0.0,0.0,off-topic: chicken feed (not seed)
fish meal chicken feed,0.85,0.0,0.0,0.0,off-topic: chicken feed (not seed)
permaculture chicken feed,0.83,0.0,0.0,0.0,off-topic: chicken feed (not seed)
costco grass seed,0.79,3.0,301.08,381.11,off-topic: retail: costco
nutrena chicken feed,0.79,0.0,0.0,0.0,off-topic: chicken feed (not seed)
plants for chicken feed,0.78,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed delivery,0.77,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass for chicken feed,0.76,0.0,0.0,0.0,off-topic: chicken feed (not seed)
amazon wildflower seeds,0.76,0.0,0.0,0.0,off-topic: retail: amazon
bulk grains for chicken feed,0.75,0.0,0.0,0.0,off-topic: chicken feed (not seed)
no grain chicken feed,0.75,0.0,0.0,0.0,off-topic: chicken feed (not seed)
bulk chicken feed delivered,0.74,0.0,0.0,0.0,off-topic: chicken feed (not seed)
buy chicken feed in bulk,0.74,0.0,0.0,0.0,off-topic: chicken feed (not seed)
new country organics chicken feed near me,0.74,0.0,0.0,0.0,off-topic: chicken feed (not seed)
organic chicken feed near me,0.74,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed with marigold,0.73,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed vitamins and minerals,0.72,0.0,0.0,0.0,off-topic: chicken feed (not seed)
new country organic chicken feed,0.7,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass seed home depot,0.69,0.0,0.0,0.0,off-topic: retail: home depot
no corn no soy chicken feed,0.68,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed grass seed,0.67,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best mix for chicken feed,0.66,0.0,0.0,0.0,off-topic: chicken feed (not seed)
highest quality chicken feed,0.63,0.0,0.0,0.0,off-topic: chicken feed (not seed)
feed store,0.62,0.0,0.0,0.0,off-topic: feed store
kalmbach organic chicken feed,0.62,0.0,0.0,0.0,off-topic: chicken feed (not seed)
new country organics chicken feed,0.62,0.0,0.0,0.0,off-topic: chicken feed (not seed)
clover seeds for lawn home depot,0.61,0.0,0.0,0.0,off-topic: retail: home depot
alfalfa chicken feed,0.61,0.0,0.0,0.0,off-topic: chicken feed (not seed)
high protein chicken feed,0.6,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass used for livestock feed,0.59,0.0,0.0,0.0,off-topic: livestock feed
online feed store,0.58,0.0,0.0,0.0,off-topic: feed store
organic chicken feed no corn no soy,0.58,0.0,0.0,0.0,off-topic: chicken feed (not seed)
buffalo grass seed home depot,0.57,0.0,0.0,0.0,off-topic: retail: home depot
mixed grain chicken feed,0.57,0.0,0.0,0.0,off-topic: chicken feed (not seed)
broiler chicken feed,0.57,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken food,0.57,0.0,0.0,0.0,off-topic: chicken food (not seed)
bulk chicken feed near me,0.52,0.0,0.0,0.0,off-topic: chicken feed (not seed)
wheat chicken feed,0.51,0.0,0.0,0.0,off-topic: chicken feed (not seed)
how to grow chicken feed,0.51,0.0,0.0,0.0,off-topic: chicken feed (not seed)
winter grass seed amazon,0.51,0.0,0.0,0.0,off-topic: retail: amazon
lawn grass seeds amazon,0.5,0.0,0.0,0.0,off-topic: retail: amazon
rice hulls home depot,0.5,0.0,0.0,0.0,off-topic: retail: home depot
tractor supply rye seed,0.5,0.0,0.0,0.0,off-topic: retail: tractor supply
home depot grass for sale,0.5,0.0,0.0,0.0,off-topic: retail: home depot
real grass rolls home depot,0.5,0.0,0.0,0.0,off-topic: retail: home depot
lowes grass seed sale,0.49,0.0,0.0,0.0,off-topic: retail: lowes
tall fescue seed home depot,0.48,0.0,0.0,0.0,off-topic: retail: home depot
california wildflower seeds home depot,0.48,0.0,0.0,0.0,off-topic: retail: home depot
tractor supply clover seed,0.45,0.0,0.0,0.0,off-topic: retail: tractor supply
lowes grass sod,0.45,0.0,0.0,0.0,off-topic: retail: lowes
natural chicken food,0.45,0.0,0.0,0.0,off-topic: chicken food (not seed)
home depot sod,0.43,0.0,0.0,0.0,off-topic: retail: home depot
kentucky bluegrass sod lowes,0.43,0.0,0.0,0.0,off-topic: retail: lowes
sunflower seeds for chicken feed,0.42,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed mash,0.41,0.0,0.0,0.0,off-topic: chicken feed (not seed)
how much is a pallet of sod at home depot,0.41,0.0,0.0,0.0,off-topic: retail: home depot
grow your own chicken feed,0.41,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass seed amazon,0.4,0.0,0.0,0.0,off-topic: retail: amazon
amazon grass seed for sale,0.4,0.0,0.0,0.0,off-topic: retail: amazon
high quality chicken food,0.4,0.0,0.0,0.0,off-topic: chicken food (not seed)
new country chicken feed,0.39,0.0,0.0,0.0,off-topic: chicken feed (not seed)
1000lb bag of chicken feed,0.38,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chickenfeed,0.37,0.0,0.0,0.0,off-topic: chicken feed (not seed)
start and grow chicken feed,0.37,0.0,0.0,0.0,off-topic: chicken feed (not seed)
fine fescue seed home depot,0.37,0.0,0.0,0.0,off-topic: retail: home depot
split peas for chicken feed,0.35,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best crops to grow for chicken feed,0.34,0.0,0.0,0.0,off-topic: chicken feed (not seed)
chicken feed in bulk,0.32,0.0,0.0,0.0,off-topic: chicken feed (not seed)
saint augustine seed home depot,0.32,0.0,0.0,0.0,off-topic: retail: home depot
real grass patch home depot,0.32,0.0,0.0,0.0,off-topic: retail: home depot
local chicken feed near me,0.31,0.0,0.0,0.0,off-topic: chicken feed (not seed)
hydro seed home depot,0.31,0.0,0.0,0.0,off-topic: retail: home depot
buckwheat seed amazon,0.29,0.0,0.0,0.0,off-topic: retail: amazon
precio de pasto natural en home depot,0.29,0.0,0.0,0.0,off-topic: retail: home depot
home depot pasture seed,0.29,0.0,0.0,0.0,off-topic: retail: home depot
semilla de pasto para invierno home depot,0.29,0.0,0.0,0.0,off-topic: retail: home depot
st augustine grass seeds amazon,0.29,0.0,0.0,0.0,off-topic: retail: amazon
sprouting grains for chicken feed,0.28,0.0,0.0,0.0,off-topic: chicken feed (not seed)
home depot semilla de pasto,0.28,0.0,0.0,0.0,off-topic: retail: home depot
best grass seed home depot,0.28,0.0,0.0,0.0,off-topic: retail: home depot
micro clover seed home depot,0.28,0.0,0.0,0.0,off-topic: retail: home depot
payback chicken feed,0.27,0.0,0.0,0.0,off-topic: chicken feed (not seed)
bulk chicken feed for sale,0.27,0.0,0.0,0.0,off-topic: chicken feed (not seed)
green mountain chicken feed,0.26,0.0,0.0,0.0,off-topic: chicken feed (not seed)
18 1 8 fertilizer home depot,0.25,0.0,0.0,0.0,off-topic: retail: home depot
alternative chicken feed,0.24,0.0,0.0,0.0,off-topic: chicken feed (not seed)
bulk livestock feed near me,0.24,0.0,0.0,0.0,off-topic: livestock feed
fescue grass seed home depot,0.23,0.0,0.0,0.0,off-topic: retail: home depot
california native plants home depot,0.22,0.0,0.0,0.0,off-topic: retail: home depot
elk mound feed store,0.21,0.0,0.0,0.0,off-topic: feed store
fermented chicken feed,0.21,0.0,0.0,0.0,off-topic: chicken feed (not seed)
50 lb bag chicken feed,0.21,0.0,0.0,0.0,off-topic: chicken feed (not seed)
best rated chicken feed,0.21,0.0,0.0,0.0,off-topic: chicken feed (not seed)
clover seed lowes,0.19,0.0,0.0,0.0,off-topic: retail: lowes
rice hulls tractor supply,0.17,0.0,0.0,0.0,off-topic: retail: tractor supply
chicken feed mixes,0.16,0.0,0.0,0.0,off-topic: chicken feed (not seed)
alfalfa seed amazon,0.15,0.0,0.0,0.0,off-topic: retail: amazon
home depot zoysia sod,0.15,0.0,0.0,0.0,off-topic: retail: home depot
kentucky bluegrass amazon,0.15,0.0,0.0,0.0,off-topic: retail: amazon
tractor supply grass seed,0.14,0.0,0.0,0.0,off-topic: retail: tractor supply
garden grass seeds amazon,0.14,0.0,0.0,0.0,off-topic: retail: amazon
amazon grass seed 50 lb bag,0.14,0.0,0.0,0.0,off-topic: retail: amazon
grass patch home depot,0.14,0.0,0.0,0.0,off-topic: retail: home depot
cereal rye tractor supply,0.13,0.0,0.0,0.0,off-topic: retail: tractor supply
red clover seed tractor supply,0.11,0.0,0.0,0.0,off-topic: retail: tractor supply
bahia grass sod home depot,0.11,0.0,0.0,0.0,off-topic: retail: home depot
chicken feed plants,0.11,0.0,0.0,0.0,off-topic: chicken feed (not seed)
cereal rye seed tractor supply,0.11,0.0,0.0,0.0,off-topic: retail: tractor supply
home depot fine fescue grass seed,0.11,0.0,0.0,0.0,off-topic: retail: home depot
home depot sod prices,0.11,0.0,0.0,0.0,off-topic: retail: home depot
alfalfa seed for sale tractor supply,0.09,0.0,0.0,0.0,off-topic: retail: tractor supply
off grid with doug and stacy chicken feed,0.08,0.0,0.0,0.0,off-topic: chicken feed (not seed)
grass seeds home depot,0.08,0.0,0.0,0.0,off-topic: retail: home depot
alfalfa seed tractor supply,0.06,0.0,0.0,0.0,off-topic: retail: tractor supply
grass pods home depot,0.02,0.0,0.0,0.0,off-topic: retail: home depot
