wc_id,parent_sku,product_name,product_type,categories,tags,description_plain,short_description_plain,bullet_1,bullet_2,bullet_3,bullet_4,bullet_5,search_terms,price,regular_price,weight,dimensions,image_1,image_2,image_3,image_4,image_5,size_options,variation_skus,variation_prices,sun_requirements,planting_depth,delivery_time,wc_url
462284,TURF-FLN,Florida Native Lawn Alternative Mix,variable,"All Seed, Florida Seeds, Lawn Seed",new,,"Bahiagrass 50% and Bermudagrass 30% — seed your Florida lawn for a fraction of sod cost. Less water, less fertilizer, fewer bugs than St. Augustine.",,,,,,"florida seeds, lawn seed",65.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/FloridaLawnAlternativeMix.webp,https://naturesseed.com/wp-content/uploads/2025/07/LawnbagsTWCA-4.png,,,,"5 lb - Covers 1,000 Sq Ft | 10 lb - Covers 2,000 Sq Ft | 25 lb - Covers 5,000 Sq Ft",TURF-FLN-25-LB-KIT | TURF-FLN-10-LB-KIT | TURF-FLN-5-LB,$277.94 | $117.89 | $65.99,Full Sun (6+ hours),1/4 to 1/2 inch,15,https://naturesseed.com/products/grass-seed/florida-native-lawn-alternative-mix/
462280,WB-FLPB,Florida Pollinator and Butterfly Mix,variable,"All Seed, Florida Seeds, Native Wildflower Seed &amp; Seed Mixes",new,,"6-species native pollinator blend with Swamp Milkweed for Monarchs, Blazing Star for native bees, and Scarlet Sage for hummingbirds. Year-round butterfly habitat for Florida.",,,,,,"florida seeds, native wildflower seed &amp; seed mixes",19.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Florida-Pollinator-and-Butterfly-Mix.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,"0.5 lb - Covers 1,000 Sq Ft | 1 lb - Covers 2,000 Sq Ft | 5 lb - Covers 10,000 Sq Ft",WB-FLPB-5-LB-KIT | WB-FLPB-1-LB-KIT | WB-FLPB-0.5-LB,$162.34 | $35.09 | $19.99,Full Sun (6+ hours),Surface to 1/4 inch max (seeds need light),15,https://naturesseed.com/products/wildflower-seed/florida-pollinator-butterfly-mix/
462276,WB-FLN,Florida Native Wildflower Mix,variable,"All Seed, Florida Seeds, Native Wildflower Seed &amp; Seed Mixes",new,,7-species native wildflower blend anchored by Lanceleaf Coreopsis at 22% — Florida’s state wildflower. Covers May through October. Designed for Florida’s sandy soils.,,,,,,"florida seeds, native wildflower seed &amp; seed mixes",12.99,,,xx,https://naturesseed.com/wp-content/uploads/2026/02/Florida-Native-Wildflower-Mix.webp,https://naturesseed.com/wp-content/uploads/2023/08/bag5_6.png,,,,"0.5 lb - Covers 1,000 Sq Ft | 1 lb - Covers 2,000 Sq Ft | 5 lb - Covers 10,000 Sq Ft",WB-FLN-5-LB-KIT | WB-FLN-1-LB-KIT | WB-FLN-0.5-LB,$109.64 | $23.39 | $12.99,Full Sun (6+ hours),1/8 to 1/4 inch max (seeds need light),15,https://naturesseed.com/products/wildflower-seeds/florida-native-wildflower-mix/
461690,BDL-POL,Pollinator Corridor Kit,simple,,new,"A 3-component habitat kit designed to create permanent pollinator corridors along field edges, fence lines, garden borders, and unused strips. Combines nectar-rich wildflowers for foraging, native bunchgrasses for nesting habitat, and White Clover for reliable season-long bloom. Ships as three separate bags.","Create a permanent pollinator habitat with our 3-species corridor kit: Central Valley Pollinator Wildflower Mix for nectar, California Native Grass for structure, and White Clover for season-long bloom. 6.5 lbs covers ~500-2,000 sq ft.","A 3-component habitat kit designed to create permanent pollinator corridors along field edges, fence lines, garden borders, and unused strips. Combines nectar-rich wildflowers for foraging, native bunchgrasses for nesting habitat, and White Clover for reliable season-long bloom. Ships as three separate bags.",,,,,,339.99,339.99,6.5,xx,https://naturesseed.com/wp-content/uploads/2026/02/Central-Valley-Habitat-Pollinator-Kit-Wildflowers-Native-Grass-and-White-Clover-Main.png,,,,,,,,Full Sun (6-8+ hours),Surface sow wildflowers and clover; 1/4 inch for native grass. Press all seed firmly.,15,https://naturesseed.com/products/wildflower-seed/pollinator-corridor-kit/
461689,BDL-FYC,First-Year Color + Perennial Foundation Wildflower Kit,simple,Native Wildflower Seed &amp; Seed Mixes,new,"A 2-mix wildflower kit designed to solve the biggest problem with perennial wildflower plantings: the wait. The Annual Mix provides dense color in the first growing season while the Deer Resistant Mix establishes a long-term perennial foundation underneath. Year 1 you get flowers from the annuals. Year 2 onward, the perennials take over and bloom for decades.","Get wildflower color in year one and lasting perennial blooms for years to come. Annual Wildflower Mix for instant color plus Deer Resistant Mix for long-term foundation. 1 lb covers ~1,000 sq ft.","A 2-mix wildflower kit designed to solve the biggest problem with perennial wildflower plantings: the wait. The Annual Mix provides dense color in the first growing season while the Deer Resistant Mix establishes a long-term perennial foundation underneath. Year 1 you get flowers from the annuals. Year 2 onward, the perennials take over and bloom for decades.",,,,,native wildflower seed &amp; seed mixes,49.99,49.99,1,xx,https://naturesseed.com/wp-content/uploads/2026/02/First-Year-Color-Perennial-Foundation-Wildflower-Kit-2-Mix-Instant-Permanent-Meadow-Starter-1.png,,,,,,,,Full Sun (6-8+ hours),"Surface sow — press into soil surface, do not bury (wildflower seeds need light)",15,https://naturesseed.com/products/wildflower-seed/first-year-and-perennial-foundation-wildflower-kit/
461687,BDL-WSC,Weed Smother Cover Crop Kit,simple,"All Seed, Cover Crop Seed",new,A 2-species weed suppression kit built around the two most aggressive weed-fighting cover crops available: Winter Cereal Rye and Mustard Biofumigant. The rye suppresses weeds from above (allelopathic chemicals + dense canopy shading) while mustard destroys weed seeds in the soil from below (glucosinolate biofumigation).,"Smother weeds naturally with our 2-species cover crop kit: heavy Cereal Rye for allelopathic weed suppression and Mustard Biofumigant for soilborne weed seed destruction. 15 lbs covers ~5,000 sq ft.",A 2-species weed suppression kit built around the two most aggressive weed-fighting cover crops available: Winter Cereal Rye and Mustard Biofumigant. The rye suppresses weeds from above (allelopathic chemicals + dense canopy shading) while mustard destroys weed seeds in the soil from below (glucosinolate biofumigation).,,,,,cover crop seed,64.99,64.99,15,xx,https://naturesseed.com/wp-content/uploads/2026/02/Compaction-Buster-Cover-Crop-Kit-2Mix-Biological-Tillage-System-for-Soil-Aeration-1.png,,,,,,,,Full Sun (6+ hours),1/4 to 1/2 inch (broadcast and press),15,https://naturesseed.com/products/pasture-seed/weed-smother-cover-crop-kit/
461686,BDL-SBC,Soil Builder Cover Crop Kit,simple,"All Seed, Cover Crop Seed",new,"A 3-species cover crop kit that attacks soil health from three angles: Winter Cereal Rye builds organic matter and suppresses weeds, White Clover fixes nitrogen, and Mustard Biofumigant kills soilborne pathogens and nematodes. Ships as three separate bags for fall or spring planting.","Build soil health with our 3-species cover crop kit: Winter Cereal Rye for organic matter, White Clover for nitrogen, and Mustard Biofumigant for disease suppression. 20 lbs covers ~5,000 sq ft.","A 3-species cover crop kit that attacks soil health from three angles: Winter Cereal Rye builds organic matter and suppresses weeds, White Clover fixes nitrogen, and Mustard Biofumigant kills soilborne pathogens and nematodes. Ships as three separate bags for fall or spring planting.",,,,,cover crop seed,94.99,94.99,20,xx,https://naturesseed.com/wp-content/uploads/2026/02/SoilBuilder@59x.webp,https://naturesseed.com/wp-content/uploads/2026/02/SoilBuilderBags@59x.webp,,,,,,,Full Sun (6+ hours),1/4 to 1/2 inch (broadcast and press),15,https://naturesseed.com/products/pasture-seed/soil-builder-cover-crop-kit/
461685,BDL-ORL,Overseed &amp; Repair Lawn Kit,simple,"Lawn Seed, Drought-Tolerant Seed, Northern Lawn, Sports Turf/High Traffic, Transitional Lawn",new,"A 2-species lawn repair kit that pairs fast-germinating Perennial Ryegrass with deep-rooted Triblade Elite Tall Fescue. The ryegrass gives you visible green in 5-10 days while the fescue fills in behind it for a dense, drought-tolerant, permanent lawn. Ships as two separate 5 lb bags.","Repair bare spots and thicken thin lawns with our 2-seed kit: Triblade Elite Tall Fescue for long-term density and Perennial Ryegrass for fast green-up. 10 lbs covers ~2,000 sq ft.","A 2-species lawn repair kit that pairs fast-germinating Perennial Ryegrass with deep-rooted Triblade Elite Tall Fescue. The ryegrass gives you visible green in 5-10 days while the fescue fills in behind it for a dense, drought-tolerant, permanent lawn. Ships as two separate 5 lb bags.",,,,,"sports turf/high traffic, lawn seed, drought-tolerant seed, transitional lawn, northern lawn",79.99,79.99,10,xx,https://naturesseed.com/wp-content/uploads/2026/02/Overseed-Repair-Lawn-Kit-Fast-Green-Perennial-Ryegrass-Deep-Rooted-Triblade-Elite-Tall-Fescue-1.png,,,,,,,,Full Sun to Partial Shade (4-8+ hours),1/4 inch (do not bury deeper),15,https://naturesseed.com/products/grass-seed/overseed-and-repair-lawn-kit/
461684,BDL-TPF,Thin Pasture Fix Kit,simple,Pasture Seed,new,"A 3-species pasture renovation kit designed to fill in bare spots, thicken thin stands, and improve forage quality in degraded pastures. Ships as three separate bags — Perennial Ryegrass (5 lb), White Clover (5 lb), and Orchardgrass (5 lb) — so you can broadcast all three together or adjust ratios for your specific conditions.","Rebuild thin pastures with our 3-species kit: Perennial Ryegrass, White Clover, and Orchardgrass. 15 lbs covers approximately 10,000 sq ft. Ships as 3 separate bags for flexible application.","A 3-species pasture renovation kit designed to fill in bare spots, thicken thin stands, and improve forage quality in degraded pastures. Ships as three separate bags — Perennial Ryegrass (5 lb), White Clover (5 lb), and Orchardgrass (5 lb) — so you can broadcast all three together or adjust ratios for your specific conditions.",,,,,pasture seed,89.99,89.99,15,xx,https://naturesseed.com/wp-content/uploads/2026/02/Thin-Pasture-Fix-Kit-3-Species-Professional-Pasture-Renovation-System-15-lb-Total-1.png,,,,,,,,Full Sun to Partial Shade (4-8+ hours),1/4 to 1/2 inch (broadcast and press/drag),15,https://naturesseed.com/products/pasture-seed/thin-pasture-kit/
458473,PB-BIRD,Upland Game Mix,variable,Food Plot Seed,"new, New Arrival",,"Upland Game Mix is a versatile seed blend designed for wildlife food plots and cover strips that support upland game birds like pheasants and quail from mid-summer through fall and into early winter. The blend pairs white proso millet and browntop millet (33.5% each) with buckwheat (33%), delivering a staggered, multi-seed buffet and fast-growing foliage. This combination provides continuous seed production, palatable seeds, and layered canopy structure; tall millet stems over a buckwheat unders",,,,,,"food plot seed, new arrival",24.99,,,xx,https://naturesseed.com/wp-content/uploads/2025/12/uplandMix.webp,https://naturesseed.com/wp-content/uploads/2025/07/Pasture-seed-bag-3.webp,,,,,PB-BIRD-50-LB-KIT | PB-BIRD-20-LB-KIT | PB-BIRD-10-LB,$106.21 | $44.98 | $24.99,Full sun with 6-8 hours daily; light partial shade reduces stand and seed.,"Plant 0.25-0.75 inches deep, about 0.5 inches on most soils.",7,https://naturesseed.com/products/pasture-seed/upland-game-mix/
458472,PB-DRY,Dryland Pasture Mix,variable,,"new, New Arrival","Dryland Pasture Mix is engineered for semi-arid landscapes where water is scarce but pasture productivity still matters. This drought-tolerant seed blend establishes a resilient grazing stand for horses, cattle, sheep, and other livestock across the intermountain West, High Plains, and other regions with less than 15 inches of annual precipitation.
The blend prioritizes proven dryland species: native and introduced grasses with deep root systems that tap subsoil moisture, legumes for nitrogen and palatability, and forbs that add mineral diversity to the forage base. Every species is selected for establishment success without irrigation, long-term persistence under grazing pressure, and nutritional value for a range of livestock.
Seed in early spring or late fall (dormant seeding) into a firm, weed-suppressed seedbed. Our 50 lb bag covers up to 50 acres at a light overseeding rate, or is suitable for 5–10 acres of new establishment. Developed in partnership with our in-house pasture specialists for the specific conditions of dryland ranching across the Western U.S.","Dryland Pasture Mix is engineered for semi-arid landscapes where water is scarce but pasture productivity still matters. This drought-tolerant seed blend establishes a resilient grazing stand for horses, cattle, sheep, and goats, helping you maximize forage yield on low-moisture pastures. Designed to revive overgrazed or depleted dryland fields, it creates dense forage cover that protects soil, reduces erosion, and enhances seasonal feed availability. The mix blends forage grasses and forage leg","Dryland Pasture Mix is engineered for semi-arid landscapes where water is scarce but pasture productivity still matters. This drought-tolerant seed blend establishes a resilient grazing stand for horses, cattle, sheep, and other livestock across the intermountain West, High Plains, and other regions with less than 15 inches of annual precipitation.","The blend prioritizes proven dryland species: native and introduced grasses with deep root systems that tap subsoil moisture, legumes for nitrogen and palatability, and forbs that add mineral diversity to the forage base. Every species is selected for establishment success without irrigation, long-term persistence under grazing pressure, and nutritional value for a range of livestock.","Seed in early spring or late fall (dormant seeding) into a firm, weed-suppressed seedbed. Our 50 lb bag covers up to 50 acres at a light overseeding rate, or is suitable for 5–10 acres of new establishment. Developed in partnership with our in-house pasture specialists for the specific conditions of dryland ranching across the Western U.S.",,,new arrival,50.99,,,xx,https://naturesseed.com/wp-content/uploads/2025/12/DrylandPAsture.webp,https://naturesseed.com/wp-content/uploads/2025/07/Pasture-seed-bag-3.webp,,,,,PB-DRY-20-LB-KIT | PB-DRY-50-LB-KIT | PB-DRY-10-LB,$216.71 | $91.78 | $50.99,"Full sun, at least 6-8 hours daily; light shade tolerated with reduced forage.","Plant 0.25-0.5 inches deep; shallower on heavy soils, slightly deeper on sandy soils.",7,https://naturesseed.com/products/pasture-seed/dryland-pasture-mix/
458471,PB-IR,Premium Irrigated Pasture Mix,variable,"Pasture Seed, Specialty Seed","new, New Arrival",,"Premium Irrigated Pasture Mix is a purpose-built forage blend designed for intensely managed, irrigated grazing programs. It delivers rapid establishment, dense ground cover, and high-yield production under pivot or wheel-line irrigation, supporting beef and dairy operations that practice strict rotational grazing. The mix also provides high-quality, low-dust forage for horses, making it suitable for strip grazing and sacrifice paddock recovery. Farmers and ranchers can expect improved pasture u",,,,,,"specialty seed, pasture seed, new arrival",39.99,,,xx,https://naturesseed.com/wp-content/uploads/2025/12/PremiumIrrigatedPasture.webp,https://naturesseed.com/wp-content/uploads/2025/07/Pasture-seed-bag-3.webp,,,,,PB-IR-50-LB-KIT | PB-IR-20-LB-KIT | PB-IR-10-LB,$169.96 | $71.98 | $39.99,"Full sun, 6–8 hours daily; light shade reduces yield and quality.",Plant 0.25–0.5 inches deep; avoid deeper seeding.,15,https://naturesseed.com/products/pasture-seed/premium-irrigated-pasture-mix/
458470,PB-CABIN,Native Cabin Grass Seed Mix,variable,"Food Plot Seed, Specialty Seed","new, New Arrival",,,,,,,,"specialty seed, food plot seed, new arrival",43.99,,,xx,https://naturesseed.com/wp-content/uploads/2025/12/NativeCabinLawn.webp,https://naturesseed.com/wp-content/uploads/2025/07/Pasture-seed-bag-3.webp,,,,,PB-CABIN-5-LB | $197.09 | PB-CABIN-25-LB-KIT | PB-CABIN-10-LB-KIT,$43.99 | $43.99 | $218.99 | $79.19,Full sun to light shade,1/8-1/4 inch deep,15,https://naturesseed.com/products/pasture-seed/native-cabin-grass-mix/
